author,name,instructions,ingredients,description,num_servings,min,image
ryland,Best Chocolate Chip Cookies,Beat the butter and sugars:then beat in the eggs and vanilla:Dissolve the baking soda in hot water and add to the mixture.:Stir in the flour and chocolate chips and walnuts.:Drop dough onto a prepared baking sheet.:Bake until the edges are golden brown,butter:1:C:white sugar:1:C:packed brown sugar:1:C:eggs:2:NA:baking soda:1:Ts:vanilla extract:2:Ts:hot water:2:Ts:salt:0.5:Ts:all-purpose flour:3:C:semisweet chocolate chips:2:C:chopped walnuts:1:C,This chocolate chip cookie recipe is truly the best. Just take it from the 14000 members of the Allrecipes community who have given it rave reviews! These chocolate chip cookies are beloved because they're soft and absolutely irresistible. Our top-rated recipe for chocolate chip cookies will quickly become your go-to.,48,30,myCookbook/images/recipeImages/chocolatechipcookies.jpeg
nicole,Chocolate Chip Cookies,Beat the butter and sugars:then beat in the eggs and vanilla:Dissolve the baking soda in hot water and add to the mixture.:Stir in the flour and chocolate chips and walnuts.:Drop dough onto a prepared baking sheet.:Bake until the edges are golden brown,butter:1:C:white sugar:1:C:packed brown sugar:1:C:eggs:2:NA:baking soda:1:Ts:vanilla extract:2:Ts:hot water:2:Ts:salt:0.5:Ts:all-purpose flour:3:C:semisweet chocolate chips:2:C:chopped walnuts:1:C,This chocolate chip cookie recipe is truly the best. Just take it from the 14000 members of the Allrecipes community who have given it rave reviews! These chocolate chip cookies are beloved because they're soft and absolutely irresistible. Our top-rated recipe for chocolate chip cookies will quickly become your go-to.,48,30,myCookbook/images/recipeImages/chocolatechipcookies.jpeg
nicole,Chicken & Biscuits Bake,Preheat oven to 350˚F (180˚C).:In a large pot over medium-high heat;melt the butter.:Add the onion; stir until softened. About 1 minute.:Whisk in the flour; stirring constantly to prevent the flour from browning. About 1 minute.:Whisk in the chicken broth; salt; and pepper. Continue to whisk until no lumps remain.:Whisk in the heavy cream. Bring to a light simmer until the sauce has thickened slightly. Test for additional salt/pepper.:Add the mixed vegetables and shredded chicken; stir until fully incorporated.:Transfer to a 9x13-inch (23x33 cm) baking dish.:Evenly top with 12 pieces of biscuit dough (you will have extra biscuits; which can be baked off separately).:Bake in a preheated oven for 20 minutes; until the biscuits are golden and the gravy mixture is bubbling.:Cool slightly before serving.:Enjoy!,6:Tb:butter:1:NA:chopped onion:0.5:C:flour:3:C:chicken broth:1:Ts:salt:1:Ts:pepper:1:C:heavy cream:2.5:C:frozen mixed vegetables:1:NA:rotisserie chicken(shredded):2:NA:tubes biscuit dough,Delicious home made chicken pot pie-esque dinner made super quickly and no experience needed.,6,35,myCookbook/images/recipeImages/biscuitsandchicken.jpeg
nicole,Baked Brie,Preheat oven to 180°C/350°F:Unwrap brie and place in a small; shallow ovenproof dish slightly larger than the brie (to be used for serving).:Bake for 15 to 20 minutes (for 250g/80z); or until melted through. For 500g/1lb brie; increase to 25 minutes. To check; gently touch the centre of the brie – it should feel very soft; like it is about to collapse if you press any harder.:Carefully transfer to serving plate / board – it's delicate (transfer on paper if you used paper).:Drizzle with honey; top with sprig of thyme (if using).:Serve immediately with crostini on the side for scooping. Provide a knife to cut through the rind and a cheese or pate knife (or similar) to scoop cheese up onto crostini or crackers (plain or fruit/nut flavoured).,round brie:16:oz:honey:2:Tb:thyme sprig:1:NA:crostini crackers:20:NA:purple grape bunch:1:NA,The world's fastest finger food; this is like the best cheese dip in the world with wow factor! Just pop a brie in the oven for 15 minutes or microwave on high for 2 minutes (seriously; no one will EVER know). Use a budget brie or camember for this; top end brie would be wasted on this recipe.Excellent shared entree or party food that's really quick and easy to prepare. Be sure to use sturdy plain or flavoured crackers; or crostini for scooping. Wafer thin crackers and chips tend to break.,10,18,myCookbook/images/recipeImages/bakedbrie.jpeg
tuvag,Pasta Carbonara,Add bacon and 1/2 cup of the water to a large non-stick skillet and bring to a simmer over medium-high heat.:Allow to simmer until water evaporates about 6 - 7 minutes; then reduce heat to medium-low and continue to cook until bacon is brown and crisp; about 6 - 8 minutes longer.:Place a fine mesh strainer over a bowl then pour bacon into strainer while reserving about 1 tsp of the rendered fat in pan; Return pan to heat and saute garlic about 30 seconds; until fragrant and lightly golden.:Pour into a medium mixing bowl then add 1 Tbsp rendered bacon fat (drippings in bowl set under strainer) to mixing bowl with garlic. Add eggs; egg yolk; parmesan and pepper to garlic mixture and whisk until well combined.:Meanwhile; bring 8 cups of water to a boil in a large dutch oven (no more than 8 cups because you want a very starchy water for the sauce). Add spaghetti and salt to boiling water and cook until al dente. While pasta is boiling; set a colander in a large bowl.:Carefully drain al dente pasta into colander in bowl; while reserving pasta water in bowl. Measure out 1 cup hot pasta water and discard remaining water. Immediately place pasta in now empty large bowl.:Slowly pour and whisk 1/2 cup pasta water into egg mixture; then slowly pour mixture over pasta while tossing to coat. Add bacon and toss to combine. Season with salt if desired.:Let pasta rest; tossing frequently; 2 - 4 minutes until sauce has thickened slightly and coats pasta. Thin with remaining 1/2 cup hot pasta water as needed. Serve immediately topped with additional parmesan and parsley.,bacon slices:10:NA:water:8.5:C:garlic cloves:4:NA:spaghetti:1:LB:finely grated parmesan cheese:1.25:C:large eggs:3:NA:large egg yolk:1:NA:salt:1:TS:pepper:1:TS:chopped parsley:1:TB,Pasta carbonara is one of those simple dinners we should all know how to make. It’s the perfect go-to for a busy weeknight; and it’s also a dish fit for the weekend or even to serve to guests.It seems like one of those dinners with so few ingredients that how could you possibly mess it up; but oh how you can if you aren’t using with the right method. I’m no expert on carbonara; which is why I turned to Cook’s Illustrated; they are the kitchen geniuses. This recipe works so well because pasta is boiled in less water with to really concentrate the starches; Enjoy!,6,35,myCookbook/images/recipeImages/carbonara.jpeg
ryland,Pot Stickers,Place all filling ingredients into a bowl and mix together until well combined. Set aside.:Brush perimeter of a wonton wrapper with the beaten egg and fill center with 1 heaping tablespoon of pork filling.:Open your dominant hand; palm side up; and hold fingers together.:Place the filled and open wonton wrapper onto your fingers and fold the wrapper in half; only sealing the corner of one side.:Using your other hand; push small pleats onto one side of the wrapper; pressing and sealing with the hand holding the potsticker.:Set aside and repeat until all filling and wrappers have been used.:Heat a large; heavy bottom skillet over medium heat and add 2 tablespoons oil.:Add 5 to 6 pot stickers to skillet; so the crimped side is up; and pan-fry for 3 to 4 minutes.:Add about 3 tablespoons water to the pan and cover for 2 to 4 minute or until the wonton wrappers have softened and steamed and the filling has finished cooking through.:Remove from heat and repeat until all potstickers have been cooked. Serve immediately with dipping sauce.:Choganjang: Place all ingredients into a small bowl and whisk together. Serve with potstickers.,12:OZ:ground pork:1.25:C:baby bok choy(diced):2:NA:thinly sliced green onions:2:NA:garlic cloves(minced):2:Ts:minced fresh ginger:1:Ts:sesame oil:2:Ts:salt:0.5:Ts:cracked black pepper:1:NA:egg(lightly beaten),A classic potsticker recipe made with pork. Pan seared for a delicious crispy texture. You can easily make a big batch of these and freeze them for later.,10,40,myCookbook/images/recipeImages/potstickers.jpeg
tuvag,Brownies,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/brownies.jpeg
cassie,Classic Stuffed Peppers,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/classicStuffedPeppers.jpeg
ronnie,Black Bean Tostadas,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/blackbeantostadas.jpeg
jc,Creamy Steak Fettuccine,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/creamysteak.png
herm,BBQ Chicken Twice-Baked Potatoes,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/BBQchicken.jpeg
cassie,Breakfast Tostadas,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/breakfasttostadas.jpeg
