username,first_name,last_name,email,bio
ryland,Ryland,Belisle,ryland@gmail.com,Hi my name is ryland and I hate cooking.
tuvag,Tuva,Granoien,teg@gmail.com,I like nordic skiing and cooking.
jc,James,Clinton,jc@gmail.com,I love dancing.
derek,Derek,D,dd@gmail.com,I have a dog named Buffy.
cassie,Cassandra,Mah,cassie@gmail.com,I like biking and skiing and cooking and making drinks.
cam,Cameron,Mah,cam@gmail.com,I play football and love my dog nemo.
hp,Harry,Potter,harry@hogwarts.com,I go to hogwarts and do magic.
ronnie,Ron,Weasley,ron@hogwarts.com,I am cooler than harry.
herm,Hermione,Granger,herm@hogwarts.com,I have a cat and am smart.
dumby,Albus,Dumbledore,AB@hogwarts.com,I am the best wizard ever.
